label,bin,bin_left,bin_right,n,mean_predicted_yes,mean_realized_yes,calibration_gap,abs_gap
KALSHI,1,0.1,0.2,7,0.13428571428571429,0.2857142857142857,0.1514285714285714,0.1514285714285714
KALSHI,2,0.2,0.30000000000000004,6,0.2741666666666666,0.3333333333333333,0.0591666666666667,0.0591666666666667
KALSHI,3,0.30000000000000004,0.4,9,0.3522222222222222,0.5555555555555556,0.20333333333333337,0.20333333333333337
KALSHI,4,0.4,0.5,36,0.4658333333333333,0.6666666666666666,0.2008333333333333,0.2008333333333333
KALSHI,5,0.5,0.6000000000000001,80,0.5200625,0.7375,0.21743750000000006,0.21743750000000006
KALSHI,6,0.6000000000000001,0.7000000000000001,14,0.6546428571428572,0.7857142857142857,0.1310714285714285,0.1310714285714285
KALSHI,7,0.7000000000000001,0.8,14,0.7435714285714285,0.8392857142857143,0.09571428571428575,0.09571428571428575
KALSHI,8,0.8,0.9,35,0.851,0.7428571428571429,-0.1081428571428571,0.1081428571428571
KALSHI,9,0.9,1.0,110,0.9670499999999997,0.990909090909091,0.02385909090909122,0.02385909090909122
POLYMARKET,0,0.0,0.1,95,0.02836315789473684,0.031578955555129504,0.0032157976603926636,0.0032157976603926636
POLYMARKET,1,0.1,0.2,20,0.1456,0.15,0.004399999999999987,0.004399999999999987
POLYMARKET,2,0.2,0.30000000000000004,34,0.24508823529411766,0.23529411764705882,-0.009794117647058842,0.009794117647058842
POLYMARKET,3,0.30000000000000004,0.4,41,0.36146341463414633,0.43902439024390244,0.07756097560975611,0.07756097560975611
POLYMARKET,4,0.4,0.5,108,0.4668981481481482,0.6111111111111112,0.144212962962963,0.144212962962963
POLYMARKET,5,0.5,0.6000000000000001,383,0.5137336814621409,0.684073103134861,0.1703394216727201,0.1703394216727201
POLYMARKET,6,0.6000000000000001,0.7000000000000001,135,0.6566666666666666,0.6148148148148148,-0.04185185185185181,0.04185185185185181
POLYMARKET,7,0.7000000000000001,0.8,249,0.7502610441767068,0.7630522088353414,0.012791164658634613,0.012791164658634613
