exact_group_id,ticker,event_date,pit_timestamp,safe_cutoff_utc,pit_probability,m2_probability,market_id,event_key,token_id,source_file,join_key,signal_map_version
W4CE1-9aa654e3fa539efabe25,PYPL,2026-07-28,2026-07-27T19:59:07Z,2026-07-27T20:00:00Z,0.84,0.84,2941073,PYPL|2026-07-28,89956908194054282837762594579154108018294636159306812131311838824200177089959,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-9ba015bc2ed242487a4b,MKC,2026-01-22,2026-01-21T20:59:15Z,2026-01-21T21:00:00Z,0.84,0.84,1139951,MKC|2026-01-22,4144715519157813814907187160061103348819283312976685602448468488795249352499,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-9c5072d458058a47c936,MBWM,2026-07-21,2026-07-20T19:59:06Z,2026-07-20T20:00:00Z,0.88,0.88,2866596,MBWM|2026-07-21,35389856061353658181367399745633536994414590666862487662543149863847429817342,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-9db243816215fbc929ab,BAC,2026-07-14,2026-07-13T19:59:06Z,2026-07-13T20:00:00Z,0.925,0.925,2745655,BAC|2026-07-14,61073765282120675756131603797195389797893093107837239514093757365127689402259,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-9f3b722d9a78e0b5581c,USB,2026-04-16,2026-04-15T19:59:43Z,2026-04-15T20:00:00Z,0.925,0.925,1891432,USB|2026-04-16,48283436993234636712142601196095725965113442264570373624679704027094637883427,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-a2b04e13edd6e4b07e0e,AMD,2025-11-04,2025-11-03T20:59:04Z,2025-11-03T21:00:00Z,0.903,0.903,657445,AMD|2025-11-04,104924915364061782307058520356837993937160185725077572951377151813187328065795,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-a437029b56f1e6b4f4cb,GAMB,2025-11-13,2025-11-12T20:59:05Z,2025-11-12T21:00:00Z,0.89,0.89,668512,GAMB|2025-11-13,3279262139478852498867691176830886937366410920296186190158448604442737579265,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-a513a331b4e0fdafed16,GBCI,2025-10-16,2025-10-15T19:59:05Z,2025-10-15T20:00:00Z,0.765,0.765,620069,GBCI|2025-10-16,93621596081514643820447644055272348249133393867775029038934523780834344629658,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-a54717cd7eecd3de12f7,FIG,2025-11-05,2025-11-04T20:59:06Z,2025-11-04T21:00:00Z,0.825,0.825,656808,FIG|2025-11-05,96536256092784088267782733140559462082430450545037104231677217200031234073775,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-a663084ba3c2d7ae6c14,GD,2026-04-29,2026-04-28T19:59:04Z,2026-04-28T20:00:00Z,0.7255,0.7255,1921506,GD|2026-04-29,103062570662163219629601711811987241072884501201530703755299847327636512250575,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
